297D-90117,TPDT-ROUTER-3012,220.128.0.92,SNUH-ROUTER-3202,220.128.0.30,10000,160,160
33E-91026,TYFO-ROUTER-3016,220.128.0.46,SNUH-ROUTER-3202,220.128.0.30,10000,100,110
33E-90661,TYFO-ROUTER-3015,220.128.0.45,SNUH-ROUTER-3201,220.128.0.29,10000,100,110
223D-97120,TPDT-ROUTER-3011,220.128.0.91,SNUH-ROUTER-3201,220.128.0.29,10000,160,160
223D-91295,TPDT-ROUTER-3011,220.128.0.91,SNUH-ROUTER-3201,220.128.0.29,10000,160,160
223D-70433,TPDT-ROUTER-3011,220.128.0.91,SNUH-ROUTER-3201,220.128.0.29,10000,160,160
33E-91025,TYFO-ROUTER-3015,220.128.0.45,SNUH-ROUTER-3201,220.128.0.29,10000,100,110
33E-90605,TYFO-ROUTER-3015,220.128.0.45,SNUH-ROUTER-3201,220.128.0.29,10000,100,110
223D-99131,TPDT-ROUTER-3011,220.128.0.91,SNUH-ROUTER-3201,220.128.0.29,10000,160,160
33E-91094,TYFO-ROUTER-3015,220.128.0.45,SNUH-ROUTER-3201,220.128.0.29,10000,100,110
223D-91607,TPDT-ROUTER-3011,220.128.0.91,SNUH-ROUTER-3201,220.128.0.29,10000,160,160
33E-90748,TYFO-ROUTER-3015,220.128.0.45,SNUH-ROUTER-3201,220.128.0.29,10000,100,110
33E-90476,TYFO-ROUTER-3015,220.128.0.45,SNUH-ROUTER-3201,220.128.0.29,10000,100,110
297D-90116,TPDT-ROUTER-3011,220.128.0.91,SNUH-ROUTER-3201,220.128.0.29,10000,160,160
HB10100423,TPDB-ROUTER-3515,203.75.3.205,TPDB-ROUTER-3516,203.75.3.206,100,5,5
HB10100661,TPDT-ROUTER-3011,220.128.0.91,TPDB-ROUTER-3516,203.75.3.206,1000,110,110
HB10100662,TPDT-ROUTER-3012,220.128.0.92,TPDB-ROUTER-3516,203.75.3.206,1000,110,110
HB10100406,TPDB-ROUTER-3515,203.75.3.205,TPDB-ROUTER-3516,203.75.3.206,1000,100,100
HB10100428,TPDB-ROUTER-3515,203.75.3.205,TPDB-ROUTER-3516,203.75.3.206,100,1000,1000
HB10100639,TPDB-ROUTER-3515,203.75.3.205,TPDB-ROUTER-3516,203.75.3.206,1000,5,5
HB10100422,TPDB-ROUTER-3515,203.75.3.205,TPDB-ROUTER-3516,203.75.3.206,100,100,100
HB10100431,TPDB-ROUTER-3516,203.75.3.206,TPDB-ROUTER-3515,203.75.3.205,100,5,5
HB10100656,TPDT-ROUTER-3012,220.128.0.92,TPDB-ROUTER-3515,203.75.3.205,1000,110,110
HB10100427,TPDB-ROUTER-3516,203.75.3.206,TPDB-ROUTER-3515,203.75.3.205,100,1,1
HB10100426,TPDB-ROUTER-3516,203.75.3.206,TPDB-ROUTER-3515,203.75.3.205,100,20,20
HB10100425,TPDB-ROUTER-3516,203.75.3.206,TPDB-ROUTER-3515,203.75.3.205,100,20,20
HB10100651,TPDT-ROUTER-3011,220.128.0.91,TPDB-ROUTER-3515,203.75.3.205,1000,110,110
HB10102244,TPDT-ROUTER-3012,220.128.0.92,TPDT-ROUTER-4044,220.128.0.20,10000,100,100
HB10100692,TPDT-ROUTER-3011,220.128.0.91,TPDT-ROUTER-4044,220.128.0.20,10000,100,100
HB10100718,TPDT-ROUTER-3012,220.128.0.92,TPDT-ROUTER-4044,220.128.0.20,10000,100,100
