203.75.189.43,SKC1-ROUTER-3611,SKC1
203.75.189.44,TNE1-ROUTER-3611,TNE1
203.75.212.135,TCHN-ROUTER-3611,TCHN
203.75.212.136,CHCH-ROUTER-3611,CHCH
203.75.3.205,TPDB-ROUTER-3515,TPDB
203.75.3.206,TPDB-ROUTER-3516,TPDB
220.128.0.1,TPDT-ROUTER-4005,TPDT
220.128.0.103,TPDT-ROUTER-4041,TPDT
220.128.0.104,TPDT-ROUTER-4042,TPDT
220.128.0.111,TPDT-ROUTER-3611,TPDT
220.128.0.112,TYFO-ROUTER-3611,TYFO
220.128.0.13,TPDT-ROUTER-4103,TPDT
220.128.0.139,TCHN-ROUTER-3011,TCHN
220.128.0.14,TPDT-ROUTER-4104,TPDT
220.128.0.140,TCHN-ROUTER-3012,TCHN
220.128.0.16,TPDB-ROUTER-4207,TPDB
220.128.0.179,CHCH-ROUTER-3011,CHCH
220.128.0.18,TPDB-ROUTER-4208,TPDB
220.128.0.180,CHCH-ROUTER-3012,CHCH
220.128.0.19,TPDT-ROUTER-4043,TPDT
220.128.0.199,SKC1-ROUTER-3011,SKC1
220.128.0.2,TPDT-ROUTER-4006,TPDT
220.128.0.20,TPDT-ROUTER-4044,TPDT
220.128.0.200,SKC1-ROUTER-3012,SKC1
220.128.0.201,SKC1-ROUTER-4031,SKC1
220.128.0.202,SKC1-ROUTER-4032,SKC1
220.128.0.21,TPDB-ROUTER-4201,TPDB
220.128.0.211,SKC1-ROUTER-3021,SKC1
220.128.0.212,SKC1-ROUTER-3022,SKC1
220.128.0.22,TPDB-ROUTER-4202,TPDB
220.128.0.221,HYMD-ROUTER-3301,HYMD
220.128.0.222,HYMD-ROUTER-3302,HYMD
220.128.0.231,TNE1-ROUTER-3011,TNE1
220.128.0.232,TNE1-ROUTER-3012,TNE1
220.128.0.233,TTML-ROUTER-3301,TTML
220.128.0.234,TTML-ROUTER-3302,TTML
220.128.0.235,PHMK-ROUTER-3201,PHMK
220.128.0.236,PHMK-ROUTER-3202,PHMK
220.128.0.237,PHMK-ROUTER-3203,PHMK
220.128.0.241,SKC1-ROUTER-4101,SKC1
220.128.0.242,SKC1-ROUTER-4102,SKC1
220.128.0.247,KMKC-ROUTER-3301,KMKC
220.128.0.248,KMKC-ROUTER-3302,KMKC
220.128.0.249,KMKC-ROUTER-3303,KMKC
220.128.0.25,TPDT-ROUTER-4001,TPDT
220.128.0.26,TPDT-ROUTER-4002,TPDT
220.128.0.27,TPDT-ROUTER-4003,TPDT
220.128.0.28,TPDT-ROUTER-4004,TPDT
220.128.0.29,SNUH-ROUTER-3201,SNUH
220.128.0.3,TPDT-ROUTER-4105,TPDT
220.128.0.30,SNUH-ROUTER-3202,SNUH
220.128.0.36,TPDB-ROUTER-4036,TPDB
220.128.0.38,TPDB-ROUTER-4402,TPDB
220.128.0.4,TPDT-ROUTER-4106,TPDT
220.128.0.41,TYFO-ROUTER-3301,TYFO
220.128.0.42,TYFO-ROUTER-3302,TYFO
220.128.0.45,TYFO-ROUTER-3015,TYFO
220.128.0.46,TYFO-ROUTER-3016,TYFO
220.128.0.47,SCZS-ROUTER-3201,SCZS
220.128.0.48,SCZS-ROUTER-3202,SCZS
220.128.0.5,TPDT-ROUTER-4101,TPDT
220.128.0.51,TYFO-ROUTER-4031,TYFO
220.128.0.52,TYFO-ROUTER-4032,TYFO
220.128.0.53,PCPD-ROUTER-4001,PCPD
220.128.0.54,PCPD-ROUTER-4002,PCPD
220.128.0.6,TPDT-ROUTER-4102,TPDT
220.128.0.63,PCPD-ROUTER-3211,PCPD
220.128.0.64,PCPD-ROUTER-3212,PCPD
220.128.0.67,PCPC-ROUTER-3201,PCPC
220.128.0.68,PCPC-ROUTER-3202,PCPC
220.128.0.69,TPE4-ROUTER-3201,TPE4
220.128.0.70,TPE4-ROUTER-3202,TPE4
220.128.0.91,TPDT-ROUTER-3011,TPDT
220.128.0.92,TPDT-ROUTER-3012,TPDT
220.128.0.93,TPDB-ROUTER-3021,TPDB
220.128.0.94,TPDT-ROUTER-3022,TPDT
220.128.33.100,SHMZ-ROUTER-3302,SHMZ
220.128.33.11,TPDT-ROUTER-3307,TPDT
220.128.33.113,SHGS-ROUTER-3301,SHGS
220.128.33.114,SHGS-ROUTER-3302,SHGS
220.128.33.12,TPDT-ROUTER-3308,TPDT
220.128.33.121,RTKZ-ROUTER-3311,RTKZ
220.128.33.122,RTKZ-ROUTER-3312,RTKZ
220.128.33.129,HLCA-ROUTER-3301,HLCA
220.128.33.130,HLCA-ROUTER-3302,HLCA
220.128.33.141,TCHN-ROUTER-3301,TCHN
220.128.33.142,TCHN-ROUTER-3302,TCHN
220.128.33.147,FYFY-ROUTER-3301,FYFY
220.128.33.148,FYFY-ROUTER-3302,FYFY
220.128.33.149,MLML-ROUTER-3301,MLML
220.128.33.15,TPDT-ROUTER-3301,TPDT
220.128.33.150,MLML-ROUTER-3302,MLML
220.128.33.151,TCKK-ROUTER-3301,TCKK
220.128.33.152,TCKK-ROUTER-3302,TCKK
220.128.33.153,TCWH-ROUTER-3301,TCWH
220.128.33.154,TCWH-ROUTER-3302,TCWH
220.128.33.159,CSLL-ROUTER-3301,CSLL
220.128.33.16,TPDT-ROUTER-3302,TPDT
220.128.33.160,CSLL-ROUTER-3302,CSLL
220.128.33.165,TLHN-ROUTER-3301,TLHN
220.128.33.166,TLHN-ROUTER-3302,TLHN
